time,car_id,position,velocity,lane,distance,crashes
113, 0, 226.000000, 1.000000, 1, 226.000000, 0
113, 1, 276.000000, 1.000000, 1, 226.000000, 0
114, 0, 228.000000, 1.000000, 1, 228.000000, 0
114, 1, 278.000000, 1.000000, 1, 228.000000, 0
115, 0, 230.000000, 1.000000, 1, 230.000000, 0
115, 1, 280.000000, 1.000000, 1, 230.000000, 0
116, 0, 232.000000, 1.000000, 1, 232.000000, 0
116, 1, 282.000000, 1.000000, 1, 232.000000, 0
117, 0, 234.000000, 1.000000, 1, 234.000000, 0
117, 1, 284.000000, 1.000000, 1, 234.000000, 0
118, 0, 236.000000, 1.000000, 1, 236.000000, 0
118, 1, 286.000000, 1.000000, 1, 236.000000, 0
119, 0, 238.000000, 1.000000, 1, 238.000000, 0
119, 1, 288.000000, 1.000000, 1, 238.000000, 0
120, 0, 240.000000, 1.000000, 1, 240.000000, 0
120, 1, 290.000000, 1.000000, 1, 240.000000, 0
121, 0, 242.000000, 1.000000, 1, 242.000000, 0
121, 1, 292.000000, 1.000000, 1, 242.000000, 0
122, 0, 244.000000, 1.000000, 1, 244.000000, 0
122, 1, 294.000000, 1.000000, 1, 244.000000, 0
123, 0, 246.000000, 1.000000, 1, 246.000000, 0
123, 1, 296.000000, 1.000000, 1, 246.000000, 0
124, 0, 248.000000, 1.000000, 1, 248.000000, 0
124, 1, 298.000000, 1.000000, 1, 248.000000, 0
125, 0, 250.000000, 1.000000, 1, 250.000000, 0
125, 1, 300.000000, 1.000000, 1, 250.000000, 0
126, 0, 252.000000, 1.000000, 1, 252.000000, 0
126, 1, 302.000000, 1.000000, 1, 252.000000, 0
127, 0, 254.000000, 1.000000, 1, 254.000000, 0
127, 1, 304.000000, 1.000000, 1, 254.000000, 0
128, 0, 256.000000, 1.000000, 1, 256.000000, 0
128, 1, 306.000000, 1.000000, 1, 256.000000, 0
129, 0, 258.000000, 1.000000, 1, 258.000000, 0
129, 1, 308.000000, 1.000000, 1, 258.000000, 0
130, 0, 260.000000, 1.000000, 1, 260.000000, 0
130, 1, 310.000000, 1.000000, 1, 260.000000, 0
131, 0, 262.000000, 1.000000, 1, 262.000000, 0
131, 1, 312.000000, 1.000000, 1, 262.000000, 0
132, 0, 264.000000, 1.000000, 1, 264.000000, 0
132, 1, 314.000000, 1.000000, 1, 264.000000, 0
133, 0, 266.000000, 1.000000, 1, 266.000000, 0
133, 1, 316.000000, 1.000000, 1, 266.000000, 0
134, 0, 268.000000, 1.000000, 1, 268.000000, 0
134, 1, 318.000000, 1.000000, 1, 268.000000, 0
135, 0, 270.000000, 1.000000, 1, 270.000000, 0
135, 1, 320.000000, 1.000000, 1, 270.000000, 0
136, 0, 272.000000, 1.000000, 1, 272.000000, 0
136, 1, 322.000000, 1.000000, 1, 272.000000, 0
137, 0, 274.000000, 1.000000, 1, 274.000000, 0
137, 1, 324.000000, 1.000000, 1, 274.000000, 0
138, 0, 276.000000, 1.000000, 1, 276.000000, 0
138, 1, 326.000000, 1.000000, 1, 276.000000, 0
139, 0, 278.000000, 1.000000, 1, 278.000000, 0
139, 1, 328.000000, 1.000000, 1, 278.000000, 0
140, 0, 280.000000, 1.000000, 1, 280.000000, 0
140, 1, 330.000000, 1.000000, 1, 280.000000, 0
141, 0, 282.000000, 1.000000, 1, 282.000000, 0
141, 1, 332.000000, 1.000000, 1, 282.000000, 0
142, 0, 284.000000, 1.000000, 1, 284.000000, 0
142, 1, 334.000000, 1.000000, 1, 284.000000, 0
143, 0, 286.000000, 1.000000, 1, 286.000000, 0
143, 1, 336.000000, 1.000000, 1, 286.000000, 0
144, 0, 288.000000, 1.000000, 1, 288.000000, 0
144, 1, 338.000000, 1.000000, 1, 288.000000, 0
145, 0, 290.000000, 1.000000, 1, 290.000000, 0
145, 1, 340.000000, 1.000000, 1, 290.000000, 0
146, 0, 292.000000, 1.000000, 1, 292.000000, 0
146, 1, 342.000000, 1.000000, 1, 292.000000, 0
147, 0, 294.000000, 1.000000, 1, 294.000000, 0
147, 1, 344.000000, 1.000000, 1, 294.000000, 0
148, 0, 296.000000, 1.000000, 1, 296.000000, 0
148, 1, 346.000000, 1.000000, 1, 296.000000, 0
149, 0, 298.000000, 1.000000, 1, 298.000000, 0
149, 1, 348.000000, 1.000000, 1, 298.000000, 0
150, 0, 300.000000, 1.000000, 1, 300.000000, 0
150, 1, 350.000000, 1.000000, 1, 300.000000, 0
151, 0, 302.000000, 1.000000, 1, 302.000000, 0
151, 1, 352.000000, 1.000000, 1, 302.000000, 0
152, 0, 304.000000, 1.000000, 1, 304.000000, 0
152, 1, 354.000000, 1.000000, 1, 304.000000, 0
153, 0, 306.000000, 1.000000, 1, 306.000000, 0
153, 1, 356.000000, 1.000000, 1, 306.000000, 0
154, 0, 308.000000, 1.000000, 1, 308.000000, 0
154, 1, 358.000000, 1.000000, 1, 308.000000, 0
155, 0, 310.000000, 1.000000, 1, 310.000000, 0
155, 1, 360.000000, 1.000000, 1, 310.000000, 0
156, 0, 312.000000, 1.000000, 1, 312.000000, 0
156, 1, 362.000000, 1.000000, 1, 312.000000, 0
157, 0, 314.000000, 1.000000, 1, 314.000000, 0
157, 1, 364.000000, 1.000000, 1, 314.000000, 0
158, 0, 316.000000, 1.000000, 1, 316.000000, 0
158, 1, 366.000000, 1.000000, 1, 316.000000, 0
159, 0, 318.000000, 1.000000, 1, 318.000000, 0
159, 1, 368.000000, 1.000000, 1, 318.000000, 0
160, 0, 320.000000, 1.000000, 1, 320.000000, 0
160, 1, 370.000000, 1.000000, 1, 320.000000, 0
161, 0, 322.000000, 1.000000, 1, 322.000000, 0
161, 1, 372.000000, 1.000000, 1, 322.000000, 0
162, 0, 324.000000, 1.000000, 1, 324.000000, 0
162, 1, 374.000000, 1.000000, 1, 324.000000, 0
163, 0, 326.000000, 1.000000, 1, 326.000000, 0
163, 1, 376.000000, 1.000000, 1, 326.000000, 0
164, 0, 328.000000, 1.000000, 1, 328.000000, 0
164, 1, 378.000000, 1.000000, 1, 328.000000, 0
165, 0, 330.000000, 1.000000, 1, 330.000000, 0
165, 1, 380.000000, 1.000000, 1, 330.000000, 0
166, 0, 332.000000, 1.000000, 1, 332.000000, 0
166, 1, 382.000000, 1.000000, 1, 332.000000, 0
167, 0, 334.000000, 1.000000, 1, 334.000000, 0
167, 1, 384.000000, 1.000000, 1, 334.000000, 0
168, 0, 336.000000, 1.000000, 1, 336.000000, 0
168, 1, 386.000000, 1.000000, 1, 336.000000, 0
169, 0, 338.000000, 1.000000, 1, 338.000000, 0
169, 1, 388.000000, 1.000000, 1, 338.000000, 0
170, 0, 340.000000, 1.000000, 1, 340.000000, 0
170, 1, 390.000000, 1.000000, 1, 340.000000, 0
171, 0, 342.000000, 1.000000, 1, 342.000000, 0
171, 1, 392.000000, 1.000000, 1, 342.000000, 0
172, 0, 344.000000, 1.000000, 1, 344.000000, 0
172, 1, 394.000000, 1.000000, 1, 344.000000, 0
173, 0, 346.000000, 1.000000, 1, 346.000000, 0
173, 1, 396.000000, 1.000000, 1, 346.000000, 0
174, 0, 348.000000, 1.000000, 1, 348.000000, 0
174, 1, 398.000000, 1.000000, 1, 348.000000, 0
175, 0, 350.000000, 1.000000, 1, 350.000000, 0
175, 1, 400.000000, 1.000000, 1, 350.000000, 0
176, 0, 352.000000, 1.000000, 1, 352.000000, 0
176, 1, 402.000000, 1.000000, 1, 352.000000, 0
177, 0, 354.000000, 1.000000, 1, 354.000000, 0
177, 1, 404.000000, 1.000000, 1, 354.000000, 0
178, 0, 356.000000, 1.000000, 1, 356.000000, 0
178, 1, 406.000000, 1.000000, 1, 356.000000, 0
179, 0, 358.000000, 1.000000, 1, 358.000000, 0
179, 1, 408.000000, 1.000000, 1, 358.000000, 0
180, 0, 360.000000, 1.000000, 1, 360.000000, 0
180, 1, 410.000000, 1.000000, 1, 360.000000, 0
181, 0, 362.000000, 1.000000, 1, 362.000000, 0
181, 1, 412.000000, 1.000000, 1, 362.000000, 0
182, 0, 364.000000, 1.000000, 1, 364.000000, 0
182, 1, 414.000000, 1.000000, 1, 364.000000, 0
183, 0, 366.000000, 1.000000, 1, 366.000000, 0
183, 1, 416.000000, 1.000000, 1, 366.000000, 0
184, 0, 368.000000, 1.000000, 1, 368.000000, 0
184, 1, 418.000000, 1.000000, 1, 368.000000, 0
185, 0, 370.000000, 1.000000, 1, 370.000000, 0
185, 1, 420.000000, 1.000000, 1, 370.000000, 0
186, 0, 372.000000, 1.000000, 1, 372.000000, 0
186, 1, 422.000000, 1.000000, 1, 372.000000, 0
187, 0, 374.000000, 1.000000, 1, 374.000000, 0
